step,n_rows,n_files,n_speakers
A1: raw vowel_points CSV loaded,703582,46549,NA
A2: cluster (contour) data loaded,15822740,NA,NA
A2b: contours pivoted wide,791137,NA,NA
A3a: word contours loaded,9524240,NA,NA
A3b: phrase contours loaded,941120,NA,NA
A3c: word contours pivoted wide,476212,47056,NA
A3d: phrase contours pivoted wide,47056,47056,NA
A4a: CV TSV metadata loaded,17335,17335,NA
A4b: HuggingFace parquet metadata loaded,29860,29860,2
A5: utterance durations loaded,50316,50316,NA
A6: vowels joined with contours,703582,46549,NA
A6b: word contours joined,703582,46549,NA
A6c: phrase contours joined,703582,46549,NA
A7: speaker metadata joined,703582,46549,2
A8: utterance durations joined,703582,46549,2
B1: Zheltov raw loaded,63772,NA,NA
B2: monolingual corpus loaded,2917415,NA,NA
