dv,rule,estimate,se,p_value,AIC,n_obs,AIC_rank,dAIC_best
int_mean_valid,A6,0.4634171480096086,0.016257221444313966,2.011328529310585e-178,1616018.6761841825,287418,1,0
int_mean_valid,A5,0.45715609156675285,0.01627192939284712,2.181997571288962e-173,1616041.8240921348,287418,2,23.1
int_mean_valid,A4,0.45345011997305,0.016272266891854074,1.2818626674431004e-170,1616054.5727701513,287418,3,35.9
int_mean_valid,B6,0.42313615116899767,0.01708716457343744,3.2769583593045125e-135,1616215.1942353111,287418,4,196.5
int_mean_valid,B5,0.4219633527797434,0.01729385652301353,2.4858832582439497e-131,1616232.8747213576,287418,5,214.2
int_mean_valid,B4,0.4182123250064333,0.01735642633565037,3.936470994094056e-128,1616247.4974100955,287418,6,228.8
int_mean_valid,initial,-0.35205525685507566,0.015407536979223539,1.9517353498447587e-115,1616305.6622433385,287418,7,287
int_mean_valid,weight,0.39501157082342153,0.019324703509632054,8.7241592176728e-93,1616409.1618982607,287418,8,390.5
int_mean_valid,final,0.046182191388424734,0.014752312772416516,0.0017452646527164855,1616816.817470635,287418,9,798.1
int_midpoint,A6,0.4449051158089712,0.01599311839986316,4.861291235423581e-170,1608103.1146770173,287418,1,0
int_midpoint,A5,0.43977882063820656,0.016007394859147955,6.637216203193036e-166,1608122.1203133361,287418,2,19
int_midpoint,A4,0.4363106436931689,0.016007729483151396,2.5053933735551138e-163,1608133.9774600554,287418,3,30.9
int_midpoint,B6,0.40149890557470813,0.01681186071529795,6.610282922035211e-126,1608303.4147236627,287418,4,200.3
int_midpoint,B5,0.40187806558778993,0.017015371126992963,3.425724779177604e-123,1608315.708914639,287418,5,212.6
int_midpoint,B4,0.39828937610550436,0.017077136116893033,3.515586283441202e-120,1608329.4474836804,287418,6,226.3
int_midpoint,initial,-0.2875519209760904,0.015164875607541468,4.0360679339471906e-80,1608512.8961315064,287418,7,409.8
int_midpoint,weight,0.32184486669239476,0.019014851477379132,3.1578255157216694e-64,1608585.4952353912,287418,8,482.4
int_midpoint,final,0.031573726155046514,0.014514707571520128,0.029609202325122312,1608867.0773073246,287418,9,764
int_peak,A6,0.39905704956305593,0.014035009426269984,1.557764937366013e-177,1542518.5792672199,287418,1,0
int_peak,A5,0.3968369345349571,0.014047642181266926,2.804924523480609e-175,1542528.9641598,287418,2,10.4
int_peak,A4,0.39551507825106946,0.014047580406335565,3.9492726167797643e-174,1542534.269816607,287418,3,15.7
int_peak,B5,0.3716663588850669,0.014917001562493521,7.47467237937857e-137,1542702.3178723513,287418,4,183.7
int_peak,B6,0.36500288054555347,0.014741373898097617,3.517580465508301e-135,1542710.1937131316,287418,5,191.6
int_peak,B4,0.3684781366790553,0.014969670735158763,1.2710681982431234e-133,1542717.0218292333,287418,6,198.4
int_peak,initial,-0.14901671252404608,0.013291610472571333,3.646594944918828e-29,1543195.1361479473,287418,7,676.6
int_peak,weight,0.17711679952642473,0.016694515326774875,2.734430257803708e-26,1543208.1928790829,287418,8,689.6
int_peak,final,0.030733228136628005,0.012720464026633776,0.015690798638369054,1543314.87475329,287418,9,796.3
int_point,A6,0.29696192157370543,0.01326925122468282,8.035401055374134e-111,1513670.6242207042,287418,1,0
int_point,A5,0.29460515435044776,0.013281402369678393,6.609563675008115e-109,1513679.4206589262,287418,2,8.8
int_point,A4,0.2911159176203668,0.013281417479169182,2.1696102983359308e-106,1513690.9722596395,287418,3,20.3
int_point,B6,0.2733237410845488,0.013927011880315497,1.0914780044846647e-85,1513784.6607380153,287418,4,114
int_point,B5,0.27105790754144976,0.014092252514452413,2.1887168958966734e-82,1513799.717084083,287418,5,129.1
int_point,initial,-0.2379551247064515,0.012537747446698427,2.9009120661887456e-80,1513808.9997703813,287418,6,138.4
int_point,B4,0.26709685030604663,0.014141007105089327,1.6277037110967734e-79,1513812.8240728574,287418,7,142.2
int_point,weight,0.21934453215459407,0.015769863367138603,5.799003774429521e-44,1513975.3174028844,287418,8,304.7
int_point,final,0.007886943751086596,0.012007779885698955,0.5112976130497064,1514168.270249803,287418,9,497.6
int_total,B5,152.4912245994978,1.2648628046467016,0,3979491.5126220146,287418,1,0
int_total,B6,149.93372850361754,1.249534757352706,0,3979628.4073122297,287418,2,136.9
int_total,B4,152.27593698176582,1.2702719448578081,0,3979641.3086941857,287418,3,149.8
int_total,A5,137.92246111186554,1.1902786526298714,0,3980555.252914558,287418,4,1063.7
int_total,A6,137.72208987300863,1.1894335603149089,0,3980572.7056082045,287418,5,1081.2
int_total,A4,137.45717804548022,1.1905228459599173,0,3980647.0334516387,287418,6,1155.5
int_total,final,105.43953250495572,1.0920927097690902,0,3984353.2845782386,287418,7,4861.8
int_total,initial,-85.93545954110058,1.1520735659413255,0,3987967.4075534376,287418,8,8475.9
int_total,weight,62.624057164554976,1.447421420820955,0,3991612.0232550143,287418,9,12120.5
log_duration,B5,0.1450203314970193,0.0013216972299121678,0,31166.155133335567,287418,1,0
log_duration,B6,0.1432770740094265,0.0013054398473730825,0,31167.92418138294,287418,2,1.8
log_duration,B4,0.14480595279354994,0.001327182235228476,0,31290.389301976214,287418,3,124.2
log_duration,A5,0.13181335067074068,0.0012438713570957374,0,31955.0167060218,287418,4,788.9
