corpus,ipa,syl_shipped,syl_documented,n
mono,aaslaʃʃø,a.as.laʃ.ʃø,a.a.slaʃ.ʃø,1
mono,aasrøn,a.as.røn,a.a.srøn,1
mono,aatma,a.at.ma,a.a.tma,1
mono,aatʲjapa,a.atʲ.ja.pa,a.a.tʲja.pa,1
mono,aaxenra,a.a.xen.ra,a.a.xe.nra,1
mono,aepra,a.ep.ra,a.e.pra,1
mono,aesra,a.es.ra,a.e.sra,1
mono,aesran,a.es.ran,a.e.sran,1
mono,aesri,a.es.ri,a.e.sri,1
mono,airaʃnɵ,a.i.raʃ.nɵ,a.i.ra.ʃnɵ,1
mono,aistanran,a.is.tan.ran,a.is.ta.nran,1
mono,aitri,a.it.ri,a.i.tri,1
spoken,ajakkaraxra,a.jak.ka.rax.ra,a.jak.ka.ra.xra,1
spoken,ajakra,a.jak.ra,a.ja.kra,1
spoken,ajakran,a.jak.ran,a.ja.kran,1
spoken,ajakranax,a.jak.ra.nax,a.ja.kra.nax,1
spoken,ajakri,a.jak.ri,a.ja.kri,1
spoken,ajkaʃni,aj.kaʃ.ni,aj.ka.ʃni,1
spoken,ajkri,ajk.ri,aj.kri,1
spoken,ajɵplama,a.jɵp.la.ma,a.jɵ.pla.ma,1
spoken,ajɵplannɵ,a.jɵp.lan.nɵ,a.jɵ.plan.nɵ,1
spoken,ajɵplanɵ,a.jɵp.la.nɵ,a.jɵ.pla.nɵ,1
spoken,ajɵplatʲ,a.jɵp.latʲ,a.jɵ.platʲ,1
spoken,ajɵplaʋa,a.jɵp.la.ʋa,a.jɵ.pla.ʋa,1
zheltov,ajakra,a.jak.ra,a.ja.kra,1
zheltov,ajakran,a.jak.ran,a.ja.kran,1
zheltov,ajakri,a.jak.ri,a.ja.kri,1
zheltov,ajlɵmlɵ,aj.lɵm.lɵ,aj.lɵ.mlɵ,1
zheltov,ajlɵmlɵx,aj.lɵm.lɵx,aj.lɵ.mlɵx,1
zheltov,ajuklat,a.juk.lat,a.ju.klat,1
zheltov,ajɵpla,a.jɵp.la,a.jɵ.pla,1
zheltov,ajɵplakan,a.jɵp.la.kan,a.jɵ.pla.kan,1
zheltov,ajɵplan,a.jɵp.lan,a.jɵ.plan,1
zheltov,ajɵplanakan,a.jɵp.la.na.kan,a.jɵ.pla.na.kan,1
zheltov,ajɵplaʋ,a.jɵp.laʋ,a.jɵ.plaʋ,1
zheltov,ajɵplaʋɕɵ,a.jɵp.laʋ.ɕɵ,a.jɵ.plaʋ.ɕɵ,1
