param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,4.893912914368233,5.648413212694921,5.940663169632052,0.10133159593806632,utterance_000003,0-0-0-0,group_0,SIL,9282.051282051281,1,2,<eps>,"",0.79,#,бухгалтер,#,#,SIL,spn,coextensive
1,0.04263528390461981,0.04066509760513563,0.028793616894687724,0.10133159593806632,utterance_000003,0-0-0-0,group_0,SIL,9282.051282051281,1,2,<eps>,"",0.79,#,бухгалтер,#,#,SIL,spn,coextensive
2,0.16195522118381306,-0.06023193857143227,-0.008551648332846355,0.10133159593806632,utterance_000003,0-0-0-0,group_0,SIL,9282.051282051281,1,2,<eps>,"",0.79,#,бухгалтер,#,#,SIL,spn,coextensive
3,-0.08532107798088012,0.05745047433575513,0.006802326031506224,0.10133159593806632,utterance_000003,0-0-0-0,group_0,SIL,9282.051282051281,1,2,<eps>,"",0.79,#,бухгалтер,#,#,SIL,spn,coextensive
4,-0.08407731516452659,-0.024624261421647985,-0.005724805882468646,0.10133159593806632,utterance_000003,0-0-0-0,group_0,SIL,9282.051282051281,1,2,<eps>,"",0.79,#,бухгалтер,#,#,SIL,spn,coextensive
0,4.925000162504507,5.60213985998562,5.9240790448074225,0.00006580291068110711,utterance_000003,0-0-9-0,group_0,SIL,8205.128205128205,1,2,<eps>,"",0.05999999999999961,сисрӗ,#,#,#,EH,,coextensive
1,0.005979279436769214,-0.023423650531479125,-0.010334354972289054,0.00006580291068110711,utterance_000003,0-0-9-0,group_0,SIL,8205.128205128205,1,2,<eps>,"",0.05999999999999961,сисрӗ,#,#,#,EH,,coextensive
2,0.02115162991414394,0.016347332626416845,0.0033631226953108363,0.00006580291068110711,utterance_000003,0-0-9-0,group_0,SIL,8205.128205128205,1,2,<eps>,"",0.05999999999999961,сисрӗ,#,#,#,EH,,coextensive
3,-0.006591004862448692,0.015727719943835212,0.005081204110604078,0.00006580291068110711,utterance_000003,0-0-9-0,group_0,SIL,8205.128205128205,1,2,<eps>,"",0.05999999999999961,сисрӗ,#,#,#,EH,,coextensive
4,-0.00037686309353395566,-0.0037462352904806475,0.005580690049755994,0.00006580291068110711,utterance_000003,0-0-9-0,group_0,SIL,8205.128205128205,1,2,<eps>,"",0.05999999999999961,сисрӗ,#,#,#,EH,,coextensive
0,4.24545960520994,5.344115294197746,5.6398782155269975,0.00014647367240346718,utterance_000003,0-0-2-1,group_0,EH,6230.7692307692305,1,2,мӗн,"",0.050000000000000044,бухгалтер,ҫинчен,M,N,M,N,internal
1,-0.10100024737621523,-0.05842197684584302,-0.02141021265424425,0.00014647367240346718,utterance_000003,0-0-2-1,group_0,EH,6230.7692307692305,1,2,мӗн,"",0.050000000000000044,бухгалтер,ҫинчен,M,N,M,N,internal
2,-0.05379129355162828,-0.010407005881089497,-0.0006570922524124205,0.00014647367240346718,utterance_000003,0-0-2-1,group_0,EH,6230.7692307692305,1,2,мӗн,"",0.050000000000000044,бухгалтер,ҫинчен,M,N,M,N,internal
3,-0.03172455692179137,-0.007040219373401052,-0.002787400101776158,0.00014647367240346718,utterance_000003,0-0-2-1,group_0,EH,6230.7692307692305,1,2,мӗн,"",0.050000000000000044,бухгалтер,ҫинчен,M,N,M,N,internal
4,-0.01629705222862224,-0.0024615766857667403,-0.0015115359184547914,0.00014647367240346718,utterance_000003,0-0-2-1,group_0,EH,6230.7692307692305,1,2,мӗн,"",0.050000000000000044,бухгалтер,ҫинчен,M,N,M,N,internal
0,4.706917325845292,5.362722240136232,5.6330452749268,0.012020377125397053,utterance_000003,0-0-8-4,group_0,EH,6230.7692307692305,1,2,сисрӗ,"",0.52,хӑвӑрт,<eps>,R,#,R,SIL,final
1,-0.13031924427203215,-0.014712984969306692,-0.01831572947178854,0.012020377125397053,utterance_000003,0-0-8-4,group_0,EH,6230.7692307692305,1,2,сисрӗ,"",0.52,хӑвӑрт,<eps>,R,#,R,SIL,final
2,0.009439808247261788,0.01432778607347606,0.003765939852514342,0.012020377125397053,utterance_000003,0-0-8-4,group_0,EH,6230.7692307692305,1,2,сисрӗ,"",0.52,хӑвӑрт,<eps>,R,#,R,SIL,final
3,0.015245446449209691,0.0049995592631284285,0.011342506828585295,0.012020377125397053,utterance_000003,0-0-8-4,group_0,EH,6230.7692307692305,1,2,сисрӗ,"",0.52,хӑвӑрт,<eps>,R,#,R,SIL,final
4,-0.02698975290343983,0.0001021771061300397,-0.006754760874203805,0.012020377125397053,utterance_000003,0-0-8-4,group_0,EH,6230.7692307692305,1,2,сисрӗ,"",0.52,хӑвӑрт,<eps>,R,#,R,SIL,final
0,4.094981682801377,5.560138099528903,5.7130476154915195,0.00007940388445150536,utterance_000003,0-0-3-1,group_0,IY,6230.7692307692305,1,2,ҫинчен,"",0.08000000000000007,мӗн,пӗлме,ɕ,N,ɕ,N,internal
1,-0.03459990437366262,-0.015272965000533795,-0.020717871362981408,0.00007940388445150536,utterance_000003,0-0-3-1,group_0,IY,6230.7692307692305,1,2,ҫинчен,"",0.08000000000000007,мӗн,пӗлме,ɕ,N,ɕ,N,internal
2,-0.0032300166981792705,0.0037653424477417153,0.01045480425153956,0.00007940388445150536,utterance_000003,0-0-3-1,group_0,IY,6230.7692307692305,1,2,ҫинчен,"",0.08000000000000007,мӗн,пӗлме,ɕ,N,ɕ,N,internal
3,-0.004199533456262886,-0.0003622964152108811,-0.00475174035655477,0.00007940388445150536,utterance_000003,0-0-3-1,group_0,IY,6230.7692307692305,1,2,ҫинчен,"",0.08000000000000007,мӗн,пӗлме,ɕ,N,ɕ,N,internal
