F1,F2,F3,F1_s,F2_s,F3_s,B1,B2,B3,error,time,rel_time,prop_time,max_formant,n_formant,smooth_method,file_name,id,group,label,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
827.4009619223631,1929.2551435746013,3122.892855908548,1002.8815452957086,2048.5476527674655,3306.071267029646,435.1022100804444,270.36758969253,442.8419593843889,0.020668970946962184,0.012749999999999997,0.012749999999999997,0.06710526315789472,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
856.2504600127327,1953.1923864356474,3155.7620363762917,1001.5387703045167,2047.9443707002206,3303.642714660639,434.50321167948243,271.34025368099697,444.5027623021882,0.020668970946962184,0.01475,0.01475,0.07763157894736843,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
908.8241651002165,2000.9385965174035,3206.127370406193,998.875019084867,2046.7402397263488,3298.8390793544218,433.33172119004576,273.28132790849503,447.81782021491597,0.020668970946962184,0.016749999999999998,0.016749999999999998,0.0881578947368421,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
946.3027610329889,2023.3419408635575,3243.621916808695,994.9335125746825,2044.940216521418,3291.7660789671486,431.639616150624,276.18200143121146,452.773396967581,0.020668970946962184,0.018749999999999996,0.018749999999999996,0.09868421052631578,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
962.9854240647164,2023.1318911130152,3262.773946731283,989.7781478223424,2042.55195813567,3282.5792657194447,429.5019680099277,280.0283155819217,459.34730937197577,0.020668970946962184,0.020749999999999998,0.020749999999999998,0.10921052631578947,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
974.5227506790151,2018.439954550835,3256.1853536730223,983.492396521643,2039.5860777715395,3271.4804743541213,427.01399653397914,284.80031964477985,467.5070955662621,0.020668970946962184,0.02275,0.02275,0.11973684210526317,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
987.4338337259354,2016.4748212886418,3234.9479213975646,976.1778689052578,2036.056468370538,3258.7132138311863,424.28738942590195,290.4710238734749,477.20768373070007,0.020668970946962184,0.024749999999999994,0.024749999999999994,0.13026315789473683,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
998.1133557790265,2019.2162053177701,3223.704071187528,967.9525700180671,2031.9806796999815,3244.5571080679097,421.44625233925893,297.005219726296,488.3886666377094,0.020668970946962184,0.026749999999999996,0.026749999999999996,0.14078947368421052,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
1005.1443637738195,2025.174749495958,3229.2060274872883,958.9488811091032,2027.3803318425,3229.321513004169,418.6229563236203,304.3582562065184,500.9713245841805,0.020668970946962184,0.028749999999999998,0.028749999999999998,0.1513157894736842,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
1012.5484323007588,2031.9859399031725,3248.235897530318,949.3113039387001,2022.281545700542,3213.3384561319526,415.9541240232396,312.47487923176504,514.855579875064,0.020668970946962184,0.03075,0.03075,0.1618421052631579,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
1019.3122267279731,2038.2347178613597,3287.6965106041953,939.194010095441,2016.7153694047224,3196.9550601407254,413.5769483385533,321.2882560816677,529.9171074575196,0.020668970946962184,0.03275,0.03275,0.1723684210526316,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
1007.5851068535145,2039.5557311136354,3362.8752641183914,928.7582408713032,2010.7181784148165,3180.525624142315,411.62597554562444,330.719316699653,546.004864215019,0.020668970946962184,0.034749999999999996,0.034749999999999996,0.18289473684210525,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
977.9427156664652,2031.991158539707,3110.3627858468985,918.1696057865627,2004.3320266654862,3164.4035437794823,410.23041747361975,340.6765451560268,562.9393280456278,0.020668970946962184,0.03675,0.03675,0.19342105263157894,5692.3076923076915,3,dct_smooth_regression,utterance_000004,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.19,#,ҫав,#,#,SIL,ɕ,coextensive
