F1,F2,F3,F1_s,F2_s,F3_s,B1,B2,B3,error,time,rel_time,prop_time,max_formant,n_formant,smooth_method,file_name,id,group,label,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
520.1225171443907,1097.594321566326,3004.228787716042,520.6753292764836,1096.7895253906127,2996.4400861672802,105.48114127377521,49.22304368788261,129.9957590266685,0.00002163949010593714,0.536375,0.0063750000000000195,0.10625000000000043,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
519.7551639526132,1105.631719500124,2986.328271053291,519.7595127562945,1103.0126595944942,2985.912737453317,105.13525685837226,44.45492854713621,127.73771577264678,0.00002163949010593714,0.538375,0.008375000000000021,0.1395833333333338,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
518.7775802371181,1113.4081624484556,2963.26384868705,518.2774192978108,1113.2803305789673,2967.00564642176,105.36152962789215,37.42010055510329,122.04909311422284,0.00002163949010593714,0.540375,0.010375000000000023,0.17291666666666722,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
517.2874741483183,1120.9412905145823,2937.5941539800024,516.79966119469,1124.2678076744185,2943.5585687152834,107.55308587029842,30.98834626501646,111.94906634396047,0.00002163949010593714,0.542375,0.012375000000000025,0.2062500000000006,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
515.8979658406488,1128.8327846592067,2914.2545062067406,515.9054885836215,1133.1034397541582,2920.269191197154,112.99595218602042,26.84223493492688,98.27030414473023,0.00002163949010593714,0.544375,0.014375000000000027,0.239583333333334,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
515.5943031216386,1137.4174878446092,2899.88317610553,515.9596328770558,1138.8125182340277,2901.633294889014,122.33414255387,25.599702455304005,83.84134535166447,0.00002163949010593714,0.546375,0.01637500000000003,0.2729166666666674,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
516.7860059490748,1145.9481184067586,2896.1535822255846,516.9548199490039,1142.9508402945055,2890.879052248804,135.00028350824718,27.615762477097675,71.95260072705503,0.00002163949010593714,0.5483750000000001,0.01837500000000003,0.3062500000000008,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
518.4469097325382,1154.8132015108383,2897.6234454109117,518.4734841521428,1149.1313287228747,2889.150628510777,148.63546638628875,33.53675655873467,64.86898387748799,0.00002163949010593714,0.5503750000000001,0.020375000000000032,0.3395833333333342,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
519.6659631743156,1165.734614269692,2901.0826914453382,519.7822229086795,1161.6333203397041,2895.1747717769213,159.0804333607544,44.267795745623836,63.69448988008833,0.00002163949010593714,0.5523750000000001,0.022375000000000034,0.37291666666666756,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
519.970704725883,1181.120439016766,2904.3725077274617,520.0298594744198,1183.6796434082405,2905.550150913702,161.79426940371863,60.059529679363486,69.00745660285004,0.00002163949010593714,0.5543750000000001,0.024375000000000036,0.40625000000000094,6589.74358974359,3,dct_smooth_regression,utterance_000000,0-0-1-1,group_0,u,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
