param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,714.3769820027798,1472.4059713314086,2171.9852791561034,0.003630086569439594,utterance_000000,0-0-0-0,group_0,SIL,5333.333333333333,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1,2.278638139128238,-16.465870227191925,32.77507647517903,0.003630086569439594,utterance_000000,0-0-0-0,group_0,SIL,5333.333333333333,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
2,-0.013709246467260579,-5.856206133202658,27.080827823278575,0.003630086569439594,utterance_000000,0-0-0-0,group_0,SIL,5333.333333333333,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
3,-2.2653627579519684,1.0901438713272493,2.792070711514964,0.003630086569439594,utterance_000000,0-0-0-0,group_0,SIL,5333.333333333333,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
4,-0.17706623209821673,11.215150513609293,21.529127458579705,0.003630086569439594,utterance_000000,0-0-0-0,group_0,SIL,5333.333333333333,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
0,364.0918924625678,874.5549953136905,2062.5365468270807,0.000027845190153414487,utterance_000000,0-0-1-1,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,V,Y,V,Y,internal
1,6.980530230754239,-84.22207035132641,21.83673895372968,0.000027845190153414487,utterance_000000,0-0-1-1,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,V,Y,V,Y,internal
2,-6.557095898878243,24.54840516941776,7.947982845157473,0.000027845190153414487,utterance_000000,0-0-1-1,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,V,Y,V,Y,internal
3,4.50831076071302,-3.794471673111751,18.358221108135645,0.000027845190153414487,utterance_000000,0-0-1-1,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,V,Y,V,Y,internal
4,-0.12951770402798352,-5.9492946416801065,-1.706024085574023,0.000027845190153414487,utterance_000000,0-0-1-1,group_0,AH,6051.282051282051,1,4,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,V,Y,V,Y,internal
