F1,F2,F3,F1_s,F2_s,F3_s,B1,B2,B3,error,time,rel_time,prop_time,max_formant,n_formant,smooth_method,file_name,id,group,label,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
1006.5143672248475,2211.805612744533,3376.308889096554,1009.9280072091589,2062.2530371515786,3239.97141757933,158.00949615145183,481.2965676516764,272.74695135060705,0.003630086569439594,0.012749999999999984,0.012749999999999984,0.031097560975609714,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1025.4072321842327,2199.848544057123,3357.2573732739866,1009.9391277080861,2062.1739691478433,3239.7009695298902,157.94219583923376,481.08597016345135,273.08401095975677,0.003630086569439594,0.014749999999999985,0.014749999999999985,0.035975609756097524,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1035.09765089582,2178.331545827024,3346.219535778221,1009.9613368916033,2062.0162326981063,3239.1609434969073,157.80780197073472,480.6657613012561,273.75837910429425,0.003630086569439594,0.016749999999999984,0.016749999999999984,0.040853658536585326,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1033.9370133922862,2140.2702702315764,3341.0014243558185,1009.9945712193095,2061.7806251965285,3238.3530761953157,157.606726866166,480.03790537247534,274.7705463308032,0.003630086569439594,0.018749999999999982,0.018749999999999982,0.04573170731707313,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1027.710590190399,2106.546352462572,3333.0817350795774,1010.038735601023,2061.4683384383698,3237.279964169502,157.33958603833506,479.2053291451931,276.12123017726475,0.003630086569439594,0.020749999999999984,0.020749999999999984,0.05060975609756094,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1023.3236912593453,2100.002486651381,3310.861067609519,1010.0937036605583,2061.080953485185,3235.945053599189,157.00719466407378,478.1718985217783,277.8113531886321,0.003630086569439594,0.022749999999999986,0.022749999999999986,0.055487804878048747,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1023.023625414434,2119.235829426826,3284.1935734484673,1010.1593180862147,2060.6204338522793,3234.3526267729476,156.6105629330461,476.94238793884193,279.84201353306526,0.003630086569439594,0.02474999999999998,0.02474999999999998,0.060365853658536535,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1022.6685253670353,2140.40294649165,3287.600660485486,1010.2353910669466,2060.0891170472605,3232.5077852852687,156.15089031886293,475.5224429102385,282.21444816920416,0.003630086569439594,0.026749999999999982,0.026749999999999982,0.06524390243902435,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1018.2692054863617,2140.499764243791,3313.832729957338,1010.3217048129239,2059.4897044955155,3230.4164300266575,155.6295588274517,473.9185362176652,284.92998851665106,0.003630086569439594,0.028749999999999984,0.028749999999999984,0.07012195121951216,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
1011.1012275480765,2126.0117412152135,3320.845289946476,1010.418012158956,2058.825249895248,3228.085238049482,155.0481252868741,472.1379183309909,287.99000859297433,0.003630086569439594,0.030749999999999986,0.030749999999999986,0.07499999999999997,5333.333333333333,3,dct_smooth_regression,utterance_000000,0-0-0-0,group_0,SIL,1,4,<eps>,"",0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
