label,word,syllable,phon_stress,sidx,sN,syl_pos,syl_open_closed,corpus
a,'ҫав,'ҫав,1,1,1,initial_final,closed,zheltov
a,'ҫав,'ҫав,1,1,1,initial_final,closed,zheltov
a,ҫав.ҫа.'вах,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.ҫа.'вах,ҫа,0,2,3,med,open,zheltov
a,ҫав.ҫа.'вах,'вах,1,3,3,final,closed,zheltov
a,ҫа.'ва,ҫа,0,1,2,initial,open,zheltov
a,ҫа.'ва,'ва,1,2,2,final,open,zheltov
a,ҫа.'вах,ҫа,0,1,2,initial,open,zheltov
a,ҫа.'вах,'вах,1,2,2,final,closed,zheltov
a,'ҫа.вӑ,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.вӑ,вӑ,0,2,2,final,open,zheltov
a,ҫа.вӑ.'ку,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.вӑ.'ку,вӑ,0,2,3,med,open,zheltov
u,ҫа.вӑ.'ку,'ку,1,3,3,final,open,zheltov
a,ҫа.вӑн.'па,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.вӑн.'па,вӑн,0,2,3,med,closed,zheltov
a,ҫа.вӑн.'па,'па,1,3,3,final,open,zheltov
a,ҫа.вӑн.'та,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.вӑн.'та,вӑн,0,2,3,med,closed,zheltov
a,ҫа.вӑн.'та,'та,1,3,3,final,open,zheltov
a,'ҫа.вӑн.шӑн,'ҫа,1,1,3,initial,open,zheltov
ɵ,'ҫа.вӑн.шӑн,вӑн,0,2,3,med,closed,zheltov
ɵ,'ҫа.вӑн.шӑн,шӑн,0,3,3,final,closed,zheltov
a,'ҫа.вӑр,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.вӑр,вӑр,0,2,2,final,closed,zheltov
a,'ҫа.вӑ.рӑн,'ҫа,1,1,3,initial,open,zheltov
ɵ,'ҫа.вӑ.рӑн,вӑ,0,2,3,med,open,zheltov
ɵ,'ҫа.вӑ.рӑн,рӑн,0,3,3,final,closed,zheltov
a,ҫа.вӑ.рӑн.ка.'лан,ҫа,0,1,5,initial,open,zheltov
ɵ,ҫа.вӑ.рӑн.ка.'лан,вӑ,0,2,5,med,open,zheltov
ɵ,ҫа.вӑ.рӑн.ка.'лан,рӑн,0,3,5,med,closed,zheltov
a,ҫа.вӑ.рӑн.ка.'лан,ка,0,4,5,med,open,zheltov
a,ҫа.вӑ.рӑн.ка.'лан,'лан,1,5,5,final,closed,zheltov
a,ҫа.вӑ.рӑн.'тар,ҫа,0,1,4,initial,open,zheltov
ɵ,ҫа.вӑ.рӑн.'тар,вӑ,0,2,4,med,open,zheltov
ɵ,ҫа.вӑ.рӑн.'тар,рӑн,0,3,4,med,closed,zheltov
a,ҫа.вӑ.рӑн.'тар,'тар,1,4,4,final,closed,zheltov
a,ҫа.вӑр.'лан,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.вӑр.'лан,вӑр,0,2,3,med,closed,zheltov
a,ҫа.вӑр.'лан,'лан,1,3,3,final,closed,zheltov
a,ҫа.вӑр.'на,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.вӑр.'на,вӑр,0,2,3,med,closed,zheltov
a,ҫа.вӑр.'на,'на,1,3,3,final,open,zheltov
a,ҫа.вӑрт.'тар,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.вӑрт.'тар,вӑрт,0,2,3,med,closed,zheltov
a,ҫа.вӑрт.'тар,'тар,1,3,3,final,closed,zheltov
a,'ҫа.вӑт,'ҫа,1,1,2,initial,open,zheltov
ɵ,'ҫа.вӑт,вӑт,0,2,2,final,closed,zheltov
a,'ҫа.вӑ.тӑн,'ҫа,1,1,3,initial,open,zheltov
ɵ,'ҫа.вӑ.тӑн,вӑ,0,2,3,med,open,zheltov
ɵ,'ҫа.вӑ.тӑн,тӑн,0,3,3,final,closed,zheltov
a,ҫа.вӑт.'тар,ҫа,0,1,3,initial,open,zheltov
ɵ,ҫа.вӑт.'тар,вӑт,0,2,3,med,closed,zheltov
a,ҫа.вӑт.'тар,'тар,1,3,3,final,closed,zheltov
a,ҫав.'ра,ҫав,0,1,2,initial,closed,zheltov
a,ҫав.'ра,'ра,1,2,2,final,open,zheltov
a,ҫав.ра.'ка,ҫав,0,1,3,initial,closed,zheltov
a,ҫав.ра.'ка,ра,0,2,3,med,open,zheltov
a,ҫав.ра.'ка,'ка,1,3,3,final,open,zheltov
a,ҫав.ра.ка.'ла,ҫав,0,1,4,initial,closed,zheltov
a,ҫав.ра.ка.'ла,ра,0,2,4,med,open,zheltov
a,ҫав.ра.ка.'ла,ка,0,3,4,med,open,zheltov
a,ҫав.ра.ка.'ла,'ла,1,4,4,final,open,zheltov
